2019-05-22 16:57:06,765 [main-EventThread] INFO  com.alibaba.dubbo.registry.support.AbstractRegistry (AbstractRegistry.java:387) -  [DUBBO] Notify urls for subscribe url admin://169.254.165.15/com.richie.kafkaconsumer.dubbo.CityDubboService?category=providers,consumers,routers,configurators&check=false&classifier=*&enabled=*&group=*&interface=com.richie.kafkaconsumer.dubbo.CityDubboService&version=*, urls: [empty://169.254.165.15/com.richie.kafkaconsumer.dubbo.CityDubboService?category=providers,consumers,routers,configurators&check=false&classifier=*&enabled=*&group=*&interface=com.richie.kafkaconsumer.dubbo.CityDubboService&version=*], dubbo version: 2.6.2, current host: 169.254.165.15
2019-05-22 16:57:06,765 [main-EventThread] INFO  com.alibaba.dubbo.registry.support.AbstractRegistry (AbstractRegistry.java:387) -  [DUBBO] Notify urls for subscribe url admin://169.254.165.15/kafkaconsumer.dubbo.CityDubboService?category=providers,consumers,routers,configurators&check=false&classifier=*&enabled=*&group=*&interface=kafkaconsumer.dubbo.CityDubboService&version=*, urls: [empty://169.254.165.15/kafkaconsumer.dubbo.CityDubboService?category=providers,consumers,routers,configurators&check=false&classifier=*&enabled=*&group=*&interface=kafkaconsumer.dubbo.CityDubboService&version=*], dubbo version: 2.6.2, current host: 169.254.165.15
2019-05-22 16:57:06,786 [main-EventThread] INFO  com.alibaba.dubbo.registry.support.AbstractRegistry (AbstractRegistry.java:387) -  [DUBBO] Notify urls for subscribe url admin://169.254.165.15/kafkaconsumer.dubbo.CityDubboService?category=providers,consumers,routers,configurators&check=false&classifier=*&enabled=*&group=*&interface=kafkaconsumer.dubbo.CityDubboService&version=*, urls: [empty://169.254.165.15/kafkaconsumer.dubbo.CityDubboService?category=providers,consumers,routers,configurators&check=false&classifier=*&enabled=*&group=*&interface=kafkaconsumer.dubbo.CityDubboService&version=*], dubbo version: 2.6.2, current host: 169.254.165.15
2019-05-22 16:57:06,786 [main-EventThread] INFO  com.alibaba.dubbo.registry.support.AbstractRegistry (AbstractRegistry.java:387) -  [DUBBO] Notify urls for subscribe url admin://169.254.165.15/com.richie.kafka.dubbo.CityDubboService?category=providers,consumers,routers,configurators&check=false&classifier=*&enabled=*&group=*&interface=com.richie.kafka.dubbo.CityDubboService&version=*, urls: [empty://169.254.165.15/com.richie.kafka.dubbo.CityDubboService?category=providers,consumers,routers,configurators&check=false&classifier=*&enabled=*&group=*&interface=com.richie.kafka.dubbo.CityDubboService&version=*], dubbo version: 2.6.2, current host: 169.254.165.15
2019-05-22 16:57:06,787 [main-EventThread] INFO  com.alibaba.dubbo.registry.support.AbstractRegistry (AbstractRegistry.java:387) -  [DUBBO] Notify urls for subscribe url admin://169.254.165.15/kafkaconsumer.dubbo.CityDubboService?category=providers,consumers,routers,configurators&check=false&classifier=*&enabled=*&group=*&interface=kafkaconsumer.dubbo.CityDubboService&version=*, urls: [empty://169.254.165.15/kafkaconsumer.dubbo.CityDubboService?category=providers,consumers,routers,configurators&check=false&classifier=*&enabled=*&group=*&interface=kafkaconsumer.dubbo.CityDubboService&version=*], dubbo version: 2.6.2, current host: 169.254.165.15
2019-05-22 16:57:06,787 [main-EventThread] INFO  com.alibaba.dubbo.registry.support.AbstractRegistry (AbstractRegistry.java:387) -  [DUBBO] Notify urls for subscribe url admin://169.254.165.15/com.richie.kafkaconsumer.dubbo.CityDubboService?category=providers,consumers,routers,configurators&check=false&classifier=*&enabled=*&group=*&interface=com.richie.kafkaconsumer.dubbo.CityDubboService&version=*, urls: [empty://169.254.165.15/com.richie.kafkaconsumer.dubbo.CityDubboService?category=providers,consumers,routers,configurators&check=false&classifier=*&enabled=*&group=*&interface=com.richie.kafkaconsumer.dubbo.CityDubboService&version=*], dubbo version: 2.6.2, current host: 169.254.165.15
2019-05-22 16:57:06,788 [main-EventThread] INFO  com.alibaba.dubbo.registry.support.AbstractRegistry (AbstractRegistry.java:387) -  [DUBBO] Notify urls for subscribe url admin://169.254.165.15/com.richie.kafkaconsumer.dubbo.CityDubboService?category=providers,consumers,routers,configurators&check=false&classifier=*&enabled=*&group=*&interface=com.richie.kafkaconsumer.dubbo.CityDubboService&version=*, urls: [empty://169.254.165.15/com.richie.kafkaconsumer.dubbo.CityDubboService?category=providers,consumers,routers,configurators&check=false&classifier=*&enabled=*&group=*&interface=com.richie.kafkaconsumer.dubbo.CityDubboService&version=*], dubbo version: 2.6.2, current host: 169.254.165.15
2019-05-22 16:57:06,788 [main-EventThread] INFO  com.alibaba.dubbo.registry.support.AbstractRegistry (AbstractRegistry.java:387) -  [DUBBO] Notify urls for subscribe url admin://169.254.165.15/com.richie.kafka.dubbo.CityDubboService?category=providers,consumers,routers,configurators&check=false&classifier=*&enabled=*&group=*&interface=com.richie.kafka.dubbo.CityDubboService&version=*, urls: [empty://169.254.165.15/com.richie.kafka.dubbo.CityDubboService?category=providers,consumers,routers,configurators&check=false&classifier=*&enabled=*&group=*&interface=com.richie.kafka.dubbo.CityDubboService&version=*], dubbo version: 2.6.2, current host: 169.254.165.15
2019-05-22 16:57:06,789 [main-EventThread] INFO  com.alibaba.dubbo.registry.support.AbstractRegistry (AbstractRegistry.java:387) -  [DUBBO] Notify urls for subscribe url admin://169.254.165.15/kafkaconsumer.dubbo.CityDubboService?category=providers,consumers,routers,configurators&check=false&classifier=*&enabled=*&group=*&interface=kafkaconsumer.dubbo.CityDubboService&version=*, urls: [empty://169.254.165.15/kafkaconsumer.dubbo.CityDubboService?category=providers,consumers,routers,configurators&check=false&classifier=*&enabled=*&group=*&interface=kafkaconsumer.dubbo.CityDubboService&version=*], dubbo version: 2.6.2, current host: 169.254.165.15
2019-05-22 16:57:06,789 [main-EventThread] INFO  com.alibaba.dubbo.registry.support.AbstractRegistry (AbstractRegistry.java:387) -  [DUBBO] Notify urls for subscribe url admin://169.254.165.15/com.richie.kafkaconsumer.dubbo.CityDubboService?category=providers,consumers,routers,configurators&check=false&classifier=*&enabled=*&group=*&interface=com.richie.kafkaconsumer.dubbo.CityDubboService&version=*, urls: [empty://169.254.165.15/com.richie.kafkaconsumer.dubbo.CityDubboService?category=providers,consumers,routers,configurators&check=false&classifier=*&enabled=*&group=*&interface=com.richie.kafkaconsumer.dubbo.CityDubboService&version=*], dubbo version: 2.6.2, current host: 169.254.165.15
2019-05-22 16:57:06,790 [main-EventThread] INFO  com.alibaba.dubbo.registry.support.AbstractRegistry (AbstractRegistry.java:387) -  [DUBBO] Notify urls for subscribe url admin://169.254.165.15/com.richie.kafka.dubbo.CityDubboService?category=providers,consumers,routers,configurators&check=false&classifier=*&enabled=*&group=*&interface=com.richie.kafka.dubbo.CityDubboService&version=*, urls: [empty://169.254.165.15/com.richie.kafka.dubbo.CityDubboService?category=providers,consumers,routers,configurators&check=false&classifier=*&enabled=*&group=*&interface=com.richie.kafka.dubbo.CityDubboService&version=*], dubbo version: 2.6.2, current host: 169.254.165.15
2019-05-23 14:00:06,914 [DubboShutdownHook] INFO  com.alibaba.dubbo.config.AbstractConfig$1 (AbstractConfig.java:81) -  [DUBBO] Run shutdown hook now., dubbo version: 2.6.2, current host: 169.254.165.15
2019-05-23 14:00:06,943 [DubboShutdownHook] INFO  com.alibaba.dubbo.registry.support.AbstractRegistryFactory (AbstractRegistryFactory.java:64) -  [DUBBO] Close all registries [zookeeper://172.19.3.21:2181/com.alibaba.dubbo.registry.RegistryService?application=dubbo-admin&dubbo=2.6.2&interface=com.alibaba.dubbo.registry.RegistryService&pid=6328&timestamp=1558511994146], dubbo version: 2.6.2, current host: 169.254.165.15
2019-05-23 14:00:06,944 [DubboShutdownHook] INFO  com.alibaba.dubbo.registry.support.AbstractRegistry (AbstractRegistry.java:451) -  [DUBBO] Destroy registry:zookeeper://172.19.3.21:2181/com.alibaba.dubbo.registry.RegistryService?application=dubbo-admin&dubbo=2.6.2&interface=com.alibaba.dubbo.registry.RegistryService&pid=6328&timestamp=1558511994146, dubbo version: 2.6.2, current host: 169.254.165.15
2019-05-23 14:00:06,947 [DubboShutdownHook] INFO  com.alibaba.dubbo.registry.support.AbstractRegistry (AbstractRegistry.java:317) -  [DUBBO] Unsubscribe: admin://169.254.165.15/kafkaconsumer.dubbo.CityDubboService?category=providers,consumers,routers,configurators&check=false&classifier=*&enabled=*&group=*&interface=kafkaconsumer.dubbo.CityDubboService&version=*, dubbo version: 2.6.2, current host: 169.254.165.15
2019-05-23 14:00:06,950 [DubboShutdownHook] INFO  com.alibaba.dubbo.registry.support.AbstractRegistry (AbstractRegistry.java:476) -  [DUBBO] Destroy unsubscribe url admin://169.254.165.15/kafkaconsumer.dubbo.CityDubboService?category=providers,consumers,routers,configurators&check=false&classifier=*&enabled=*&group=*&interface=kafkaconsumer.dubbo.CityDubboService&version=*, dubbo version: 2.6.2, current host: 169.254.165.15
2019-05-23 14:00:06,950 [DubboShutdownHook] INFO  com.alibaba.dubbo.registry.support.AbstractRegistry (AbstractRegistry.java:317) -  [DUBBO] Unsubscribe: admin://169.254.165.15/com.richie.kafka.dubbo.CityDubboService?category=providers,consumers,routers,configurators&check=false&classifier=*&enabled=*&group=*&interface=com.richie.kafka.dubbo.CityDubboService&version=*, dubbo version: 2.6.2, current host: 169.254.165.15
2019-05-23 14:00:06,951 [DubboShutdownHook] INFO  com.alibaba.dubbo.registry.support.AbstractRegistry (AbstractRegistry.java:476) -  [DUBBO] Destroy unsubscribe url admin://169.254.165.15/com.richie.kafka.dubbo.CityDubboService?category=providers,consumers,routers,configurators&check=false&classifier=*&enabled=*&group=*&interface=com.richie.kafka.dubbo.CityDubboService&version=*, dubbo version: 2.6.2, current host: 169.254.165.15
2019-05-23 14:00:06,951 [DubboShutdownHook] INFO  com.alibaba.dubbo.registry.support.AbstractRegistry (AbstractRegistry.java:317) -  [DUBBO] Unsubscribe: admin://169.254.165.15?category=providers,consumers,routers,configurators&check=false&classifier=*&enabled=*&group=*&interface=*&version=*, dubbo version: 2.6.2, current host: 169.254.165.15
2019-05-23 14:00:06,953 [DubboShutdownHook] INFO  com.alibaba.dubbo.registry.support.AbstractRegistry (AbstractRegistry.java:476) -  [DUBBO] Destroy unsubscribe url admin://169.254.165.15?category=providers,consumers,routers,configurators&check=false&classifier=*&enabled=*&group=*&interface=*&version=*, dubbo version: 2.6.2, current host: 169.254.165.15
2019-05-23 14:00:06,954 [DubboShutdownHook] INFO  com.alibaba.dubbo.registry.support.AbstractRegistry (AbstractRegistry.java:317) -  [DUBBO] Unsubscribe: admin://169.254.165.15/com.richie.kafkaconsumer.dubbo.CityDubboService?category=providers,consumers,routers,configurators&check=false&classifier=*&enabled=*&group=*&interface=com.richie.kafkaconsumer.dubbo.CityDubboService&version=*, dubbo version: 2.6.2, current host: 169.254.165.15
2019-05-23 14:00:06,955 [DubboShutdownHook] INFO  com.alibaba.dubbo.registry.support.AbstractRegistry (AbstractRegistry.java:476) -  [DUBBO] Destroy unsubscribe url admin://169.254.165.15/com.richie.kafkaconsumer.dubbo.CityDubboService?category=providers,consumers,routers,configurators&check=false&classifier=*&enabled=*&group=*&interface=com.richie.kafkaconsumer.dubbo.CityDubboService&version=*, dubbo version: 2.6.2, current host: 169.254.165.15
2019-05-23 14:00:07,010 [Thread-11] INFO  com.alibaba.dubbo.registry.support.AbstractRegistry (AbstractRegistry.java:317) -  [DUBBO] Unsubscribe: admin://169.254.165.15?category=providers,consumers,routers,configurators&check=false&classifier=*&enabled=*&group=*&interface=*&version=*, dubbo version: 2.6.2, current host: 169.254.165.15
